Año,Trimestre,Accesos TV por suscripción (en millones),Accesos TV satelital (en millones)
2023,4,7.65,1.51
2023,3,7.74,1.68
2023,2,8.08,1.74
2023,1,7.77,1.77
2022,4,7.68,1.84
2022,3,7.67,2.06
2022,2,7.65,2.06
2022,1,7.56,2.05
2021,4,7.6,2.01
2021,3,7.68,2.15
2021,2,7.33,2.33
2021,1,7.35,2.26
2020,4,7.33,2.32
2020,3,7.33,2.45
2020,2,7.22,2.45
2020,1,7.22,2.46
2019,4,7.3,2.46
2019,3,7.16,2.46
2019,2,7.05,2.46
2019,1,6.97,2.47
2018,4,6.91,2.47
2018,3,7.04,2.54
2018,2,6.93,2.5
2018,1,6.93,2.47
2017,4,6.83,2.56
2017,3,6.77,2.59
2017,2,6.77,2.58
2017,1,6.6,2.53
2016,4,6.55,2.66
2016,3,6.54,2.63
2016,2,6.53,2.64
2016,1,6.51,2.54
2015,4,6.51,2.54
2015,3,6.49,2.59
2015,2,6.46,2.58
2015,1,6.41,2.5
2014,4,6.48,2.47
2014,3,6.45,2.45
2014,2,6.44,2.55
