Año,Trimestre,Ingresos TV por suscripción (en miles de millones de $),Ingresos TV satelital (en miles de millones de $),Ingresos TV (en miles de millones de $
2024,2,266.23,124.81,391.04
2024,1,191.06,94.27,285.33
2023,4,133.58,64.75,198.33
2023,3,103.74,51.18,154.92
2023,2,87.02,38.63,125.65
2023,1,74.74,33.43,108.16999999999999
2022,4,62.43,29.72,92.15
2022,3,52.4,27.07,79.47
2022,2,46.32,23.56,69.88
2022,1,42.11,21.27,63.379999999999995
2021,4,38.27,18.04,56.31
2021,3,36.4,18.04,54.44
2021,2,33.67,18.04,51.71
2021,1,31.92,18.04,49.96
2020,4,26.32,14.48,40.8
2020,3,25.39,12.93,38.32
2020,2,24.62,12.54,37.16
2020,1,25.15,12.35,37.5
2019,4,22.79,12.15,34.94
2019,3,20.28,10.9,31.18
2019,2,18.39,9.94,28.33
2019,1,17.48,8.82,26.3
2018,4,15.21,8.27,23.48
2018,3,14.2,8.18,22.38
2018,2,13.36,7.8,21.16
2018,1,12.28,7.15,19.43
2017,4,11.64,6.84,18.48
2017,3,10.76,6.09,16.85
2017,2,9.94,5.76,15.7
2017,1,9.61,5.26,14.87
2016,4,8.52,5.02,13.54
2016,3,8.29,4.65,12.94
2016,2,7.35,4.4,11.75
2016,1,7.14,4.07,11.21
2015,4,6.35,3.64,9.99
2015,3,6.13,3.44,9.57
2015,2,5.47,3.2,8.67
2015,1,5.29,3.02,8.31
2014,4,4.71,2.69,7.4
2014,3,4.42,2.53,6.949999999999999
2014,2,4.05,2.34,6.39
2014,1,3.6,2.0,5.6
